Mhalo,Mhi
11.348568692327357, 8.835861358833208
11.364543317263902, 8.884919334804666
11.391113687340912, 8.946232803966115
11.422965728542987, 9.007539072485267
11.44955770054689, 9.077032471296441
11.481431343675856, 9.146518669465317
11.518629861783673, 9.232357526291345
11.539907759772174, 9.28958823127023
11.56638092117817, 9.314092017007917
11.619338044953611, 9.367189553308156
11.693432654192755, 9.424348251864068
11.746422180858534, 9.489715682638892
11.78875115660317, 9.51828783127455
11.852228418774956, 9.555011106990744
11.905142338696614, 9.591748783991532
11.973912072956908, 9.632554823890292
12.04796347834227, 9.673353663146752
12.122036485654522, 9.72233243205294
12.169636331560776, 9.746807415221438
12.238406065821072, 9.787613455120198
12.296580054940902, 9.816164001828964
12.317728341368051, 9.8243151289095
12.40758155627482, 9.84873250693962
12.624292086854147, 9.909786752978366
12.730055120916786, 9.95872231803077
12.793521582125127, 9.9913556289221
12.878114727833724, 10.023960137244243
12.946884462094019, 10.064766177143001
13.036770079891127, 10.101453449647709
13.137273044755593, 10.158576144992134
13.243025277854786, 10.203421745219675
13.327629224526827, 10.24011621836668
13.422818115375893, 10.284976219878814
13.50748686782861, 10.346210481974992
13.586852347229373, 10.399272015063744
13.655643683416562, 10.448257984612228
13.735009162817324, 10.50131951770098
13.824937984468214, 10.554366649505138
13.888458450493784, 10.60744978452078
13.914899209009445, 10.61968367578388
