logmh,resfrac,resfrac_staterrlo,resfrac_staterrhi,resfrac_syserrlo,resfrac_syserrhi,ecofrac,ecofrac_staterrlo,ecofrac_staterrhi,ecofrac_syserrlo,ecofrac_syserrhi,ecostellarfrac,ecobaryfrac
11.075,-2.377358161493982,0.03368675833814816,0.045579283404662,0.05215240520760078,0.10889009040480024,-2.421583541493983,0.02124937172674146,0.02376303056725204,0.07536049006909007,0.13897944458007894,-2.5649999999999995,-2.052181819776738
11.225000000000001,-2.2857217686789824,0.02376913473329223,0.04577672221744544,0.01239145184300039,0.0754724647574001,-2.3430758934139817,0.012467369585436927,0.01749022457362459,0.10009011232653808,0.11111163072172614,-2.5150000000000006,-1.975044216189671
11.375,-2.250587182213982,0.03367181238015471,0.032114520097458854,0.06976437067830066,0.03948013521270033,-2.2336639134639817,0.015514623179937459,0.014073482166174767,0.08868940261840752,0.12505920482141653,-2.3450000000000006,-1.8614593781643283
11.524999999999999,-2.234343267083985,0.03665105851328665,0.02696461805668182,0.06932095918551084,0.0530794028244892,-2.2472400577739844,0.0241746953335773,0.013207653944498965,0.08169199407449579,0.11303743610561323,-2.174999999999999,-1.7919248449455871
11.675,-2.299782134063981,0.05382500431959514,0.0657713719728581,0.027978941922129685,0.08869824885138611,-2.3204826649016654,0.023740072632703946,0.03186537703636061,0.10452110309041274,0.0730296260324752,-2.045,-1.7267587495812844
11.875,-2.4713042445939806,0.07895109106421616,0.09412856446177997,0.08993917222159853,0.10668232720499926,-2.447750926405262,0.02983769582181761,0.030690191694940694,0.02830632390507626,0.024259819946289785,-1.7668659794171422,-1.6468724832095099
12.125,-2.4939872622668053,0.04328539658721686,0.09071361031431824,0.11776525677889538,0.06824028323538833,-2.5696615528246944,0.042374551976410046,0.03959537965702342,0.11483523587879141,0.13884072251110968,-1.6864744328646495,-1.5976302191114584
12.375,-2.5502268412839815,0.30889821610185875,0.07960923847026846,0.16846563345011978,0.19560113372190457,-2.6863399065679623,0.0467200537945609,0.05440155106744138,0.0595317602785026,0.07930231770723006,-1.687576418057219,-1.6061231306371688
12.625,-2.9455505761088547,0.056242402088979127,0.16039611109164653,0.191503707679892,0.19845512224662398,-2.844311786295573,0.07551743210617712,0.08981445316078229,0.07097310769856824,0.157520981408791,-1.7217118289435547,-1.6535060322590809
12.85,-2.894587911888622,0.20564246785659757,0.07695673469930675,0.1855123901219451,0.21193356917382467,-2.9378144548373495,0.06296873659054336,0.05793500220579828,0.09334733247143001,0.09230470709744187,-1.7440093623430961,-1.708573584550189
13.125,-3.0886127182188545,0.20550620996022806,0.05972930210027494,0.11100340680594156,0.17041190288051578,-3.0837350092269835,0.05778871567249988,0.06833371125154475,0.16559752509530457,0.08700254318549039,-1.9043459361896353,-1.8571927726740043
14.025,-3.338952105219925,0.16477308327215923,0.08235788359277452,0.19681259142254426,0.22778461034538822,-3.3858849102774666,0.05619483420946736,0.04357207080905123,0.12387992775709122,0.08774852987664739,-2.5376394892468497,-2.5083170381748374
